CourseCode,Female,FStudentID,Male,MStudent
CATSNG,F,107,M,135
ZDSNG,F,100,M,126
GMSNG,F,79,M,112
CSSNG,F,73,M,98
UPSNG,F,43,M,74
CYBBS,F,37,M,52
FTPBA,F,35,M,47
INFSNG,F,25,M,39
JOUSNG,F,23,M,38
CCHSNG,F,22,M,37
FASNG,F,22,M,36
TFPSNG,F,20,M,32
CGSSNG,F,17,M,27
CGPPRD,F,15,M,26
CPTSNG,F,15,M,25
TGDBS,F,15,M,23
FUAPRD,F,14,M,23
CGVIMO,F,13,M,21
CMA,F,13,M,20
TDGMA,F,13,M,20
TDABA,F,12,M,19
CAMA,F,10,M,18
CVESNG,F,10,M,18
IGDSNG,F,10,M,17
WBPBS,F,10,M,16
AVBA,F,9,M,14
BMPSNG,F,9,M,14
VIWBA,F,9,M,14
CANSNG,F,8,M,13
CCHFSNG,F,8,M,12
CSCPRD,F,8,M,11
GDEPRD,F,8,M,11
GMA,F,8,M,10
ZDFSNG,F,8,M,10
CSFSNG,F,7,M,10
FMCUBA,F,7,M,9
IPMPRD,F,7,M,9
GMFSNG,F,6,M,9
MPRPRD,F,6,M,9
MZSNG,F,6,M,9
OABA,F,6,M,8
PLMSNG,F,6,M,8
AQMA,F,5,M,7
CNMS,F,5,M,7
CSNSNG,F,5,M,7
DCMPRD,F,5,M,6
HIFBS,F,5,M,6
MDCBA,F,5,M,6
MUTBS,F,5,M,5
SPJBA,F,5,M,5
CGNBA,F,4,M,4
CPTFSNG,F,4,M,4
CSMS,F,4,M,4
PFTMA,F,4,M,4
CBSAMS,F,3,M,4
CBSMS,F,3,M,3
CSNPRD,F,3,M,3
WMMSNG,F,3,M,3
AGMA,F,2,M,3
ATDGMA,F,2,M,3
CNPRD,F,2,M,3
CSMS1,F,2,M,3
DTSAMS,F,2,M,3
DWEBS,F,2,M,2
GPDPRD,F,2,M,2
MJMSNG,F,2,M,2
MJSSNG,F,2,M,2
TVEMS,F,2,M,2
VIEIMO,F,2,M,2
AGAMA,F,1,M,1
AGAPRD,F,1,M,1
AQMA1,F,1,M,1
CSNMS,F,1,M,1
CVEFSNG,F,1,M,1
DNCSNG,F,1,M,1
FOMA,F,1,M,1
GPDMA,F,1,M,1
MMJSNG,F,1,M,1
VIEAMA,F,1,M,1